issue_type,parcel_1,parcel_2,index_1,index_2,area
overlap,3003,269051,2803,250631,0.0014794654838521538
overlap,3014,539768,2812,502882,0.0004850520235326881
overlap,3190,406127,2969,378899,6.538445166744122e-05
overlap,3190,69215,2969,64459,0.002596448788727007
overlap,3191,143465,2970,133689,0.0009773180360397593
overlap,3254,230499,3030,214786,0.0014978692372880416
overlap,3259,543042,3034,505622,0.0022628575776424825
overlap,3307,70134,3080,65317,0.000153184803190035
overlap,3311,148028,3084,137906,0.0003071774631888026
overlap,3416,295653,3177,275500,0.0054996750756504
overlap,3511,340108,3264,534207,0.0059366614738122344
overlap,3531,537831,3282,501219,0.0026192248660768798
overlap,3554,132063,3303,123025,0.0028798568583607853
overlap,3570,37687,3318,35150,0.0003628973056070071
overlap,3579,406182,3326,378953,0.0012127223586961833
overlap,3595,473724,3342,441939,3.93924950661218e-06
overlap,3595,293312,3342,273317,0.0009542436285983058
overlap,3595,408478,3342,381104,0.0009541499486107899
overlap,3595,40834,3342,38075,0.0007165257959465676
overlap,3660,555237,3402,506921,0.012884552601576615
overlap,3669,540048,3411,503103,3.703885298402966e-05
overlap,3749,490841,3489,457812,0.0009223014451862355
overlap,3793,6022,3529,517100,0.00011418148225639948
overlap,3845,530280,3578,494284,0.01922691505359021
overlap,3845,230906,3578,215159,0.0059894372799149664
overlap,3856,536644,3589,534258,0.0020164280739711853
overlap,3909,39183,3636,36533,1.535556406393184e-05
overlap,3936,308061,3662,287081,0.002433927674543434
overlap,3959,267046,3680,248774,0.001216289082342184
overlap,4006,196639,3721,183228,0.001543353513099554
overlap,4028,496534,3740,463116,0.00047393031468345725
overlap,4028,210375,3740,195994,0.0005115978313763511
overlap,4072,330717,3779,308252,0.006508923348292228
overlap,4104,503087,3811,469162,0.00011903039654045635
overlap,4132,20102,3835,18763,0.0020891041309836684
overlap,4134,72369,3837,67377,0.00017720984798774708
overlap,4195,542566,3894,519102,0.0005302287743644156
overlap,4213,185110,3911,172487,0.0014449229800862866
overlap,4213,410679,3911,383165,0.00019584663352802028
overlap,4242,416796,3939,388896,0.0012458765676147394
overlap,4242,22023,3939,20557,0.03349273836654127
overlap,4248,369685,3944,344695,0.11754981787762894
overlap,4248,84672,3944,78832,0.45292523700339715
overlap,4291,134675,3982,125490,0.0010485330617658883
overlap,4291,206027,3982,191938,0.008455264953240029
overlap,4318,146233,4008,535960,0.015244673065862302
overlap,4367,489113,4053,456196,0.00042301340958572463
overlap,4367,156519,4053,145856,0.00037440355469061206
overlap,4367,1437745,4053,512983,0.00025027678913808107
overlap,4367,95281,4053,88700,5.002901293556055e-06
overlap,4367,497631,4053,464132,3.756594868480745e-05
overlap,4367,88952,4053,82824,4.0336670583303324e-05
overlap,4367,509249,4053,474832,0.00019529689273099175
overlap,4367,316272,4053,294742,4.3590335505615295e-06
overlap,4367,88257,4053,82182,0.0002311555349976988
overlap,4391,269046,4077,250626,0.0017901817240600284
overlap,4398,49071,4084,45787,4.36348297546584e-06
overlap,4425,186908,4107,174160,0.000990115725132471
overlap,4447,250208,4128,233068,0.00039905221359136237
overlap,4477,74129,4158,69034,0.1741858156098286
overlap,4477,317528,4158,295926,0.266393787745406
overlap,4477,332299,4158,309740,0.0026335116812186143
overlap,4477,207430,4158,525587,0.05902686177409322
overlap,4477,195349,4158,182019,0.13596331325229727
overlap,4477,416701,4158,388805,0.001120728754509896
overlap,4519,176490,4197,164469,0.007162045495320513
overlap,4522,573044,4200,507380,0.0019042672556111029
overlap,4522,126167,4200,117524,9.43532040565678e-08
overlap,4534,1394411,4211,512635,0.004209083625206262
overlap,4549,61431,4224,57193,0.011651049120100461
overlap,4632,73819,4302,68743,0.0013181552132550678
overlap,4669,62277,4338,57979,0.0007393719076809191
overlap,4670,426866,4339,398296,0.00017044795969647336
overlap,4677,451166,4346,420986,0.007578636828100116
overlap,4691,190756,4357,177724,0.0015364029929991797
overlap,4691,337237,4357,314321,7.22161045890701e-05
overlap,4691,302641,4357,282010,0.001536397592954986
overlap,4756,220664,4415,205565,0.00012966436427412333
overlap,4815,907367,4472,509813,0.00041240134173859495
overlap,4818,498669,4475,528784,0.0003439032157837047
overlap,4857,530048,4512,494076,1.9449428347159334e-10
overlap,4920,539882,4569,502970,0.00162107796625238
overlap,4932,65999,4580,61460,0.5151154363060861
overlap,4939,564517,4586,507153,0.0007316361556419793
overlap,4939,576691,4586,507576,0.01221685344049206
overlap,4950,433347,4597,534994,0.005482585818662789
